0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
2772.2373,2692.3171,2600.7815,2497.6855,2383.2275,2257.7432,2121.701,1975.6993,1820.4674,1656.871,1485.9305,1308.8629,1127.1746,942.8765,759.0257,581.24506,422.54956,317.51706,324.6853,437.37338,596.3124,770.54755,948.49036,1125.0483,1297.4294,1463.8038,1622.8191,1773.4027,1914.6731,2045.8977,2166.472,2275.9082,2373.8308,2459.972,2534.17,2596.368,2646.6118,2685.0483,2711.923,2727.5771,2732.4436,2727.045,2711.9866,2687.9543,2655.708,2616.0767,2569.9531,2518.288,2462.0857,2402.3967,2340.3147,2276.97,2213.5244,2151.1665,2091.1033,2034.553,1982.734,1936.8505,1898.0729,1867.5154,1846.2086,1835.0696,1834.8739,1846.2317,1869.573,1905.1431,1953.0099,2013.0798,2085.1199,2168.7808,2263.6187,2369.1128,2484.6765,2609.6663,2743.3843,2885.0793,3033.9473,3189.1294,3349.7126,3514.73,3683.1619,3853.94,4025.9502,4198.039,4369.0195,4537.679,4702.786,4863.1,5017.3804,5164.395,5302.9297,5431.799,5549.8545,5655.994,5749.173,5828.409,5892.796,5941.506,5973.802,5989.042,5986.686,5966.3027,5927.5728,5870.295,5794.3896,5699.902,5587.0044,5456.0,5307.3223,5141.5405,4959.36,4761.623,4549.3184,4323.584,4085.7173,3837.195,3579.6968,3315.1484,3045.7896,2774.2795,2503.8713,2238.689,1984.1672,1747.7134,1539.5488,1373.2786,1264.7297,1226.9434,1262.586,1361.303,1505.632,1678.5162,1866.6824,2060.7087,2254.0583,2442.153,2621.7212,2790.3792,2946.3726,3088.4146,3215.5852,3327.2678,3423.1067,3502.982,3566.989,3615.4277,3648.793,3667.766,3673.2104,3666.162,3647.825,3619.5588,3582.8677,3539.383,3490.8416,3439.0554,3385.8748,3333.1416,3282.6323,3235.9941,3194.6748,3159.8523,3132.3713,3112.6926,3100.864,3096.5164,3098.8857,3106.8596,3119.0417,3133.8245,3149.4663,3164.1636,3176.1143,3183.571,3184.8826,3178.5266,3163.13,3137.4858,3100.5625,3051.5078,2989.6523,2914.509,2825.7715,2723.3135,2607.1863,2477.6191,2335.0208,2179.988,2013.3206,1836.0538,1649.5232,1455.4906,1256.41,1056.007,860.63745,682.6075,547.37585,498.09894,561.5287,708.91266,899.14526,1108.6055,1325.7433,1544.4156,1760.8715,1972.5121,2177.3577,2373.8022,2560.4954,2736.2815,2900.17,3051.3193,3189.031,3312.7458,3422.0452,3516.6504,3596.4263,3661.3826,3711.6748,3747.6062,3769.6287,3778.3416,3774.492,3758.972,3732.8145,3697.1877,3653.3882,3602.8267,3547.0146,3487.5427,3426.0535,3364.207,3303.6392,3245.9119,3192.456,3144.5134,3103.0767,3068.8367,3042.1426,3022.9795,3010.9673,3005.383,3005.2021,3009.155,3015.7922,3023.5513,3030.8208,3035.9966,3037.528,3033.9563,3023.942,3006.2834,2979.9321,2943.998,2897.7534,2840.6343
199.30765,133.14067,70.185905,49.409645,97.35412,166.63971,238.97427,312.36374,386.07785,459.65863,532.73254,604.9586,676.0109,745.5718,813.3296,878.9781,942.21686,1002.752,1060.2971,1114.5745,1165.3159,1212.2645,1255.1753,1293.8165,1327.9711,1357.4371,1382.0295,1401.5806,1415.9409,1424.9805,1428.5892,1426.6777,1419.1777,1406.0425,1387.2478,1362.7916,1332.6943,1296.9993,1255.7725,1209.1022,1157.0995,1099.8975,1037.6511,970.53687,898.75244,822.5166,742.06934,657.6729,569.6151,478.21686,383.85452,287.03122,188.68158,92.48366,68.54853,136.83069,240.3949,346.7891,454.23077,562.0068,669.6281,776.6783,882.77203,987.5421,1090.6343,1191.7063,1290.427,1386.4779,1479.5536,1569.362,1655.6271,1738.0878,1816.5004,1890.6389,1960.296,2025.2833,2085.4324,2140.5955,2190.6448,2235.4744,2274.9993,2309.1553,2337.9001,2361.2122,2379.0908,2391.5564,2398.6482,2400.4263,2396.9688,2388.3718,2374.75,2356.233,2332.9668,2305.112,2272.8423,2236.3435,2195.8137,2151.46,2103.499,2052.1553,1997.6593,1940.2479,1880.162,1817.646,1752.9467,1686.3127,1617.9937,1548.2393,1477.2996,1405.4244,1332.8635,1259.8673,1186.6877,1113.5804,1040.8069,968.6385,897.3625,827.28986,758.767,692.19305,628.0434,566.9042,509.5188,456.8465,410.12268,370.88428,340.87878,321.74506,314.4526,318.77646,333.2512,355.67755,383.76608,415.54004,449.4551,484.3616,519.41833,554.00964,587.68036,620.08936,650.9767,680.1413,707.4256,732.7048,755.8796,776.8708,795.61597,812.06683,826.18726,837.95245,847.3479,854.36884,859.0201,861.31573,861.2791,858.9428,854.3487,847.54785,838.601,827.57806,814.5586,799.63153,782.8955,764.4585,744.438,722.961,700.1637,676.1918,651.19995,625.35236,598.82227,571.79236,544.4546,517.01056,489.67154,462.65863,436.2027,410.54388,385.93045,362.6162,340.85608,320.89886,302.97632,287.28833,273.9849,263.14758,254.77399,248.77083,244.95877,243.08984,242.87398,244.00926,246.20992,249.2285,252.87085,257.00436,261.56082,266.535,271.98016,278.00092,284.74362,292.38458,301.11627,311.13263,322.61392,335.7133,350.5457,367.18076,385.63953,405.8949,427.87518,451.46942,476.53372,502.89743,530.36914,558.74176,587.7967,617.30743,647.0425,676.7673,706.24634,735.24475,763.5294,790.8701,817.04065,841.81995,864.99274,886.35046,905.6923,922.82605,937.56866,949.7472,959.1997,965.7759,969.3378,969.7607,966.9333,960.759,951.1558,938.0575,921.4135,901.1898,877.3691,849.9509,818.9524,784.40796,746.37006,704.90875,660.1125,612.0881,560.9612,506.87766,450.00534,390.53885,328.7101,264.81656
511.8558,445.38406,388.04526,348.52695,337.11832,359.74823,413.1886,488.96872,579.28314,678.75055,783.89343,892.392,1002.5902,1113.2161,1223.2281,1331.7295,1437.9202,1541.0697,1640.501,1735.5813,1825.7184,1910.357,1988.9792,2061.1045,2126.2896,2184.131,2234.2666,2276.375,2310.1792,2335.4465,2351.9912,2359.6738,2358.403,2348.137,2328.8828,2300.6982,2263.691,2218.0198,2163.8958,2101.5813,2031.3925,1953.6997,1868.9318,1777.5786,1680.1991,1577.4313,1470.0092,1358.7904,1244.7992,1129.2985,1013.90735,900.7984,793.0187,694.9767,613.01544,555.50824,531.0582,544.0699,591.4301,664.77026,755.20374,855.788,961.69366,1069.6382,1177.3456,1283.1785,1385.9115,1484.5934,1578.4653,1666.9093,1749.416,1825.5645,1895.0087,1957.4683,2012.7224,2060.6055,2101.0032,2133.8508,2159.13,2176.8677,2187.135,2190.0435,2185.7463,2174.4343,2156.336,2131.7153,2100.8704,2064.1313,2021.86,1974.4469,1922.3114,1865.8994,1805.6829,1742.1588,1675.8489,1607.2987,1537.0786,1465.7834,1394.0338,1322.4762,1251.784,1182.6575,1115.8212,1052.0198,992.00714,936.5291,886.2949,841.9372,803.96063,772.684,748.1869,730.2735,718.46796,712.0447,710.0895,711.57684,715.44684,720.66907,726.2877,731.44775,735.4061,737.53265,737.30383,734.2946,728.1681,718.66614,705.6003,688.8441,668.32623,644.0249,615.9636,584.2072,548.8599,510.06448,468.00317,422.90308,375.04785,324.80508,272.69012,219.53099,166.95544,119.0793,88.1871,95.92488,137.28278,192.22495,252.1697,314.12326,376.75372,439.28864,501.1797,561.9834,621.3123,678.8139,734.1606,787.0447,837.1769,884.28534,928.11597,968.433,1005.0198,1037.6798,1066.2374,1090.5392,1110.4543,1125.8763,1136.7227,1142.9366,1144.487,1141.3693,1133.6052,1121.2437,1104.3605,1083.0585,1057.4673,1027.7432,994.0686,956.6518,915.7263,871.55084,824.409,774.60895,722.4847,668.39734,612.7386,555.93713,498.47043,440.88638,383.8441,328.1921,275.12378,226.48703,185.35182,156.64787,146.15494,155.57004,179.78749,211.8869,247.02919,282.43686,316.5315,348.3695,377.356,403.1051,425.37094,444.01324,458.98077,470.30475,478.0982,482.55972,483.97974,482.74966,479.372,474.47025,468.7955,463.22485,458.74432,456.40857,457.271,462.2872,472.20755,487.4866,508.2376,534.2448,565.02234,599.8967,638.08685,678.7675,721.11304,764.32275,807.63403,850.32776,891.72925,931.2077,968.1744,1002.08167,1032.4219,1058.7269,1080.5684,1097.5579,1109.348,1115.6338,1116.1538,1110.6921,1099.0809,1081.2024,1056.9928,1026.4464,989.62177,946.64966,897.7466,843.23413,783.5713,719.4084,651.68115,581.7793
482.44135,474.43082,466.9677,460.6601,456.15048,454.08154,455.05035,459.55624,467.9524,480.41187,496.9171,517.2737,541.14264,568.0818,597.5861,629.12164,662.1501,696.14557,730.6041,765.04846,799.03033,832.13043,863.95795,894.14954,922.3686,948.3043,971.671,992.2078,1009.67834,1023.87067,1034.5972,1041.695,1045.0256,1044.4761,1039.9579,1031.4088,1018.7922,1002.09753,981.34174,956.5691,927.8527,895.29626,859.03595,819.2441,776.1345,729.9708,681.0792,629.8691,576.86707,522.7729,468.5544,415.60675,366.01172,322.89993,290.73016,274.78223,278.9679,303.20834,343.70737,395.65707,455.09955,519.2568,586.2526,654.7968,723.964,793.0578,861.52936,928.92865,994.8752,1059.0394,1121.1312,1180.8926,1238.0924,1292.5233,1343.9998,1392.3556,1437.444,1479.1356,1517.3185,1551.8975,1582.7932,1609.9423,1633.2964,1652.8219,1668.4995,1680.3239,1688.3027,1692.4565,1692.8186,1689.4332,1682.3568,1671.6558,1657.4073,1639.6981,1618.6243,1594.2904,1566.8096,1536.3026,1502.8981,1466.7311,1427.9437,1386.6844,1343.1077,1297.3734,1249.6476,1200.1013,1148.9113,1096.2593,1042.3331,987.3262,931.4387,874.8785,817.8623,760.61847,703.3905,646.442,590.06537,534.5942,480.42297,428.03873,378.0701,331.36395,289.09558,252.89648,224.89929,207.43262,202.08704,208.59294,224.7505,247.57289,274.3813,303.1875,332.628,361.78766,390.04993,416.9944,442.33167,465.8628,487.45367,507.01886,524.5107,539.9123,553.23236,564.50165,573.7702,581.1048,586.58746,590.31305,592.3882,592.92883,592.0589,589.9083,586.61066,582.3013,577.1148,571.18286,564.63165,557.57935,550.1337,542.3901,534.429,526.3149,518.09485,509.79785,501.43503,493.0001,484.4708,475.81076,466.97214,457.8983,448.52734,438.79544,428.64062,418.0063,406.84512,395.12253,382.82047,369.94116,356.51093,342.5845,328.24966,313.6324,298.90308,284.2827,270.0495,256.5437,244.16808,233.37941,224.66478,218.49771,215.27504,215.24754,218.4679,224.77803,233.84123,245.20299,258.35577,272.79025,288.0269,303.63104,319.21704,334.44638,349.02362,362.6918,375.22824,386.4412,396.16745,404.27045,410.63922,415.1879,417.85562,418.60678,417.4318,414.34818,409.402,402.66995,394.26172,384.32355,373.042,360.6492,347.42868,333.72192,319.93472,306.54144,294.0837,283.15842,274.38858,268.3717,265.60858,266.4264,270.92184,278.947,290.14325,304.00766,319.96545,337.42923,355.83826,374.6787,393.49158,411.87292,429.47092,445.98187,461.14636,474.74625,486.6025,496.57413,504.55774,510.48813,514.33954,516.12756,515.912,513.80023,509.95126,504.58054,497.9649,490.44748
259.11014,232.64288,203.95987,173.21487,140.58958,106.31691,70.83147,71.01552,70.90048,70.487404,89.264595,129.90868,171.1051,212.49657,253.80557,294.77966,335.1774,374.76447,413.31268,450.60046,486.4135,520.5459,552.8011,582.9928,610.94653,636.50006,659.5045,679.8253,697.343,711.9536,723.5695,732.12,737.5514,739.8277,738.9306,734.86005,727.6339,717.2884,703.87823,687.4765,668.17505,646.08496,621.3371,594.08325,564.4981,532.78217,499.1669,463.92227,427.36987,389.90366,352.02496,314.40106,277.96252,244.0589,214.67003,192.55391,180.91217,182.05984,195.84456,219.79291,250.76846,286.1637,324.13623,363.44098,403.22653,442.88992,481.98605,520.17285,557.1785,592.7813,626.79675,659.06964,689.4685,717.8819,744.216,768.39246,790.3471,810.02875,827.39825,842.4276,855.09937,865.4059,873.3487,878.9381,882.19226,883.13715,881.80566,878.2373,872.4779,864.57904,854.59766,842.5959,828.64056,812.8033,795.1597,775.78986,754.77765,732.2108,708.181,682.78357,656.11743,628.2852,599.39343,569.5522,538.8756,507.48193,475.49362,443.0381,410.24823,377.2635,344.2316,311.31137,278.6773,246.52759,215.09833,184.6896,155.7157,128.80402,104.98773,86.0208,74.52935,72.80029,80.193375,93.438965,109.42561,126.2175,142.73248,158.35155,172.69766,185.52588,196.66872,206.0081,213.46031,218.96753,222.49312,224.01859,223.542,221.0768,216.6512,210.30782,202.1036,192.10999,180.41348,167.11707,152.34276,136.23724,118.9834,100.82651,82.13964,63.60742,55.391846,55.74835,55.88705,55.806114,70.49852,91.67346,113.59309,135.6432,157.45738,178.77199,199.37337,219.07639,237.71504,255.13828,271.20807,285.79883,298.79736,310.10315,319.6288,327.3006,333.05896,336.85916,338.67175,338.4833,336.2968,332.1324,326.02808,318.04065,308.24667,296.74435,283.65555,269.12936,253.34714,236.53023,218.95197,200.95598,182.98383,165.61476,149.6158,135.9833,125.91569,120.61003,120.84062,126.5641,136.94197,150.75526,166.81102,184.1256,201.94153,219.68362,236.9094,253.2706,268.4867,282.32742,294.60168,305.15018,313.84106,320.5669,325.24292,327.80597,328.21384,326.44504,322.49896,316.39594,308.17795,297.9097,285.68,271.60443,255.82938,238.53868,219.96454,200.40608,180.2613,160.08217,140.66817,123.20934,109.435135,101.524994,101.319885,109.07469,123.29091,141.86661,163.02238,185.49336,208.40947,231.15376,253.26547,274.3818,294.20453,312.4805,328.99054,343.54272,355.96854,366.1208,373.87213,379.1145,381.75885,381.73486,378.99103,373.49454,365.23145,354.20642,340.44275,323.9822,304.88486,283.22882
354.64142,329.1142,301.2435,271.15695,239.00424,204.96274,169.25136,132.17146,94.253136,76.90169,75.06341,72.917336,82.55968,124.14532,166.78079,209.68947,252.45564,294.76746,336.35315,376.96088,416.3515,454.29626,490.5762,524.9823,557.3165,587.3923,615.03564,640.08636,662.39856,681.84186,698.30206,711.6819,721.90204,728.90125,732.63745,733.08795,730.25006,724.14154,714.80115,702.28925,686.6884,668.10455,646.6682,622.53625,595.895,566.9642,536.00287,503.31912,469.2837,434.35104,399.09134,364.23752,330.75217,299.91165,273.3808,253.19336,241.47842,239.83096,248.60458,266.74463,292.33362,323.31168,357.8994,394.7047,432.67645,471.02194,509.13394,546.53687,582.8495,617.7605,651.0114,682.3856,711.70074,738.8033,763.56525,785.8809,805.6654,822.8529,837.39526,849.2613,858.43567,864.9181,868.72253,869.8766,868.42035,864.406,857.8971,848.96735,837.7003,824.1884,808.53217,790.83954,771.225,749.8091,726.7176,702.081,676.0339,648.7145,620.26447,590.82855,560.55457,529.5937,498.1009,466.236,434.16525,402.0637,370.119,338.53693,307.54996,277.4297,248.50587,221.19368,196.03099,173.72095,155.15637,141.36424,133.27592,131.32011,135.10364,143.51694,155.17682,168.81523,183.43542,198.30724,212.90794,226.86255,239.89833,251.81355,262.45673,271.71295,279.49496,285.73724,290.3919,293.42618,294.8204,294.56696,292.66928,289.14133,284.00717,277.30072,269.06567,259.3552,248.23222,235.76944,222.04967,207.16658,191.22585,174.34746,156.6699,138.35822,119.62028,100.742035,82.16918,65.78626,65.659134,65.27775,64.6432,63.758125,69.467735,86.739395,104.57622,122.32379,139.6022,156.15602,171.79332,186.35886,199.72162,211.76855,222.40157,231.53587,239.09938,245.03236,249.2875,251.82991,252.63733,251.70036,249.02257,244.62076,238.5251,230.77945,221.44164,210.58398,198.29425,184.67708,169.85681,153.98254,137.23778,119.85952,102.17849,84.70844,68.353775,60.059444,61.828766,63.48434,65.02366,74.132904,91.37958,109.478874,127.68347,145.54451,162.75604,179.08755,194.35341,208.39815,221.0895,232.3148,241.97977,250.00798,256.34134,260.94092,263.7882,264.88675,264.26434,261.97562,258.10568,252.77448,246.14253,238.4184,229.86772,220.82391,211.69934,202.99367,195.29312,189.25038,185.5333,184.73848,187.28636,193.33775,202.77277,215.23991,230.24484,247.23717,265.6715,285.0401,304.8845,324.79593,344.41068,363.40408,381.48486,398.39072,413.88464,427.7525,439.80124,449.85764,457.76767,463.3961,466.62616,467.3597,465.51706,461.0372,453.87772,444.01505,431.44434,416.1796,398.25348,377.71744
235.64836,214.04675,192.08711,170.54129,150.58981,134.0167,123.265144,120.86579,128.04675,143.89772,166.26042,193.01387,222.57085,253.83469,286.04068,318.63013,351.17084,383.31012,414.74738,445.21805,474.48404,502.32803,528.5503,552.96674,575.40784,595.7183,613.75714,629.39734,642.52655,653.0472,660.8769,665.94885,668.2122,667.63226,664.1909,657.887,648.73663,636.7733,622.04877,604.6331,584.6161,562.10767,537.24036,510.1715,481.08743,450.2099,417.80618,384.20532,349.82465,315.21375,281.12714,248.64207,219.33128,195.4455,179.86963,175.36177,183.04663,201.62697,228.3793,260.59015,296.1809,333.7018,372.1534,410.82828,449.2049,486.8822,523.53986,558.914,592.7824,624.9549,655.26746,683.57806,709.76434,733.72125,755.3604,774.6086,791.40735,805.7123,817.49255,826.7304,833.4209,837.5711,839.19995,838.33765,835.0252,829.3139,821.265,810.94904,798.4451,783.8408,767.23145,748.7196,728.41455,706.432,682.8937,657.927,631.6649,604.2458,575.8134,546.5177,516.515,485.9694,455.0543,423.95526,392.87366,362.03238,331.68387,302.12198,273.6982,246.84383,222.09637,200.12427,181.7289,167.78352,159.06052,155.95824,158.27573,165.22932,175.71161,188.59035,202.88776,217.83163,232.83693,247.4663,261.39224,274.3674,286.20303,296.75397,305.90823,313.57993,319.70413,324.23352,327.13586,328.39218,327.99557,325.95016,322.27042,316.9806,310.11423,301.71393,291.8308,280.52457,267.8629,253.92169,238.78471,222.5439,205.2996,187.1616,168.25092,148.70364,128.67903,108.37709,88.0813,74.225075,73.43642,72.40217,71.12668,69.61569,67.876305,76.268524,95.0653,113.72553,131.90218,149.3759,165.98672,181.60713,196.13045,209.46536,221.53326,232.26703,241.61032,249.51741,255.95305,260.89246,264.32147,266.23633,266.64398,265.56174,263.01746,259.0492,253.70514,247.04341,239.13171,230.04709,219.87566,208.71231,196.66052,183.83226,170.34819,156.33832,141.9433,127.31728,112.63313,98.09237,83.94417,70.522,58.31312,55.180607,56.409714,57.55963,58.630016,59.620667,60.531464,61.362335,66.45439,73.22091,79.20272,84.25289,88.28846,91.27445,93.21757,94.16571,94.21149,93.49907,92.23363,90.69188,89.23,88.28122,88.3317,89.865265,93.282486,98.824066,106.53722,116.2991,127.87508,140.97806,155.31003,170.58372,186.53079,202.90279,219.46915,236.01465,252.337,268.24496,283.55725,298.1017,311.7151,324.243,335.5403,345.47134,353.91068,360.7436,365.86682,369.18933,370.633,370.13354,367.6414,363.1226,356.55994,347.9544,337.32675,324.72,310.20255,293.87317,275.86853,256.375
185.13568,166.66257,146.90013,126.11725,104.7748,83.7711,74.28675,72.74302,70.93081,69.97513,92.9321,119.68496,148.3949,178.1758,208.51842,239.07436,269.57083,299.77408,329.47263,358.469,386.5759,413.6143,439.41263,463.8069,486.64075,507.76608,527.0435,544.3432,559.5452,572.54065,583.2316,591.5326,597.3703,600.68463,601.4291,599.571,595.09204,587.9885,578.2719,565.9687,551.12115,533.7877,514.0433,491.98032,467.70993,441.364,413.09833,383.09784,351.58548,318.83737,285.2099,251.18927,217.48627,185.21921,156.25484,133.70717,121.99832,124.753006,141.35895,167.7518,199.93098,235.2593,272.16028,309.66617,347.14,384.1287,420.28705,455.3372,489.04623,521.21387,551.6648,580.24426,606.8157,631.2586,653.4681,673.35376,690.83954,705.86334,718.37695,728.34546,735.7476,740.57513,742.8328,742.538,739.7204,734.4216,726.6947,716.6041,704.22455,689.64087,672.94745,654.24744,633.6523,611.2808,587.2591,561.7192,534.7989,506.64096,477.3927,447.20523,416.23343,384.63565,352.57397,320.21512,287.73218,255.3084,223.1442,191.4714,160.5827,130.8972,103.11845,78.63851,62.946133,61.974033,61.156826,77.377174,97.15989,117.85221,138.2796,157.87105,176.31256,193.41223,209.0433,223.118,235.57437,246.3694,255.4749,262.87518,268.5655,272.55096,274.84592,275.47333,274.46436,271.85794,267.70074,262.0468,254.95752,246.50151,236.75499,225.802,213.73524,200.65732,186.68301,171.94293,156.58998,140.81035,124.84333,109.01744,93.81698,79.99996,68.76718,63.180504,63.014114,65.99686,76.049576,89.16983,103.992615,119.646286,135.58507,151.4517,166.99696,182.03587,196.42384,210.04338,222.79665,234.60095,245.3862,255.09335,263.6735,271.0873,277.30493,282.3057,286.0783,288.62073,289.94058,290.05515,288.99155,286.78723,283.49002,279.1587,273.86322,267.6854,260.7194,253.07243,244.86551,236.23422,227.32947,218.31792,209.38187,200.71802,192.53453,185.04527,178.46068,172.97456,168.74782,165.8908,164.44861,164.3931,165.62439,167.98184,171.26154,175.23555,179.66962,184.33673,189.02621,193.54904,197.74028,201.45978,204.59184,207.04463,208.74927,209.65933,209.75043,209.0202,207.48853,205.19824,202.21596,198.63335,194.56837,190.16653,185.60144,181.07434,176.81114,173.05624,170.06139,168.06934,167.29298,167.8929,169.95828,173.49611,178.43181,184.62027,191.8637,199.93123,208.57639,217.55048,226.61163,235.5302,244.09154,252.09709,259.36465,265.7279,271.03613,275.15372,277.95966,279.3474,279.22476,277.51367,274.15033,269.0855,262.28467,253.72845,243.41342,231.3531,217.57971,202.14705
196.8994,176.2763,154.80986,132.7913,110.686554,89.34044,70.481544,57.71501,56.2892,67.444756,86.664375,109.82394,134.81476,160.60371,186.61794,212.48859,237.94566,262.7719,286.7814,309.80878,331.70395,352.32925,371.55814,389.2744,405.37234,419.75653,432.34222,443.0557,451.83453,458.62802,463.39746,466.11658,466.77188,465.3629,461.9028,456.41837,448.95087,439.5564,428.30667,415.29004,400.61298,384.40192,366.80624,348.0025,328.20013,307.65048,286.65903,265.60303,244.95561,225.3156,207.43782,192.246,180.7901,174.0973,172.90836,177.41283,187.17746,201.32858,218.83733,238.73337,260.19852,282.5781,305.35782,328.1333,350.58344,372.4498,393.52176,413.62598,432.61896,450.38177,466.81653,481.8434,495.399,507.43445,517.9146,526.81683,534.13025,539.855,544.0016,546.59015,547.6499,547.2184,545.34094,542.0698,537.4638,531.5872,524.5093,516.3035,507.0469,496.8191,485.70175,473.77777,461.13058,447.84344,433.99875,419.6773,404.95792,389.91656,374.62616,359.15585,343.5708,327.9318,312.295,296.712,281.22934,265.88904,250.72832,235.7801,221.07321,206.63277,192.48082,178.63683,165.11852,151.94264,139.126,126.68673,114.64571,103.028725,91.86916,81.21228,71.121506,61.688488,53.048824,47.55571,47.379852,47.131626,46.807747,46.405277,45.92165,45.35472,44.702805,43.964703,48.03537,52.121628,55.953785,59.4517,62.565266,65.26566,67.54034,69.39021,70.8283,71.87902,72.578064,72.97242,73.12046,73.09177,72.96645,72.833694,72.78905,72.93034,73.35217,74.13918,75.359276,77.057686,79.2533,81.93793,85.07839,88.62084,92.49605,96.62482,100.92268,105.30369,109.683174,113.979706,118.116425,122.02189,125.63066,128.88373,131.72879,134.12051,136.02075,137.3988,138.23157,138.50386,138.20866,137.34732,135.92996,133.97575,131.51335,128.5813,125.22854,121.51492,117.51182,113.30258,108.982895,104.660645,100.45498,96.49399,92.910286,89.83387,87.38207,85.64747,84.68573,84.50676,85.07192,86.298515,88.07026,90.25056,92.69546,95.26421,97.82671,100.26821,102.492,104.42099,105.99873,107.19031,107.98346,108.39003,108.44781,108.22257,107.81014,107.337776,106.96402,106.87567,107.28036,108.393684,110.42111,113.537224,117.86678,123.47261,130.35324,138.44975,147.65826,157.84407,168.85413,180.52661,192.69731,205.20355,217.88635,230.59154,243.17018,255.47885,267.37964,278.7404,289.43466,299.34216,308.3488,316.34726,323.23724,328.9259,333.3283,336.36795,337.97705,338.0971,336.6792,333.6846,329.0849,322.86258,315.01123,305.5361,294.45435,281.7957,267.60306,251.93378,234.86119,216.47762
208.58093,194.68683,179.51468,163.14914,145.69026,127.25865,108.00747,88.15203,68.054924,58.589447,57.673126,56.600395,55.37767,57.86012,79.36834,101.58377,123.92668,146.08603,167.84642,189.03398,209.49655,229.09534,247.7015,265.19458,281.46188,296.39847,309.9073,321.8994,332.29443,341.02063,348.0155,353.2258,356.60794,358.1282,357.7627,355.49768,351.32944,345.26437,337.31885,327.51923,315.9016,302.51187,287.40533,270.64682,252.31065,232.481,211.2527,188.73318,165.04672,140.34447,114.829094,88.82637,63.038216,48.050556,49.38083,50.573833,67.74042,95.95009,125.173355,154.76738,184.41702,213.91609,243.10397,271.84305,300.0096,327.48984,354.17786,379.97488,404.78882,428.53415,451.13187,472.5096,492.6015,511.34845,528.69794,544.60425,559.02814,571.93726,583.30554,593.1135,601.34796,608.00183,613.07404,616.5693,618.498,618.8759,617.724,615.0682,610.93915,605.37213,598.40674,590.08685,580.46014,569.5783,557.4967,544.27423,529.97345,514.66046,498.40472,481.27945,463.36163,444.73218,425.47632,405.6841,385.45117,364.87943,344.07843,323.1671,302.27603,281.5503,261.15372,241.27405,222.12953,203.97661,187.11737,171.90398,158.73334,148.0221,140.15164,135.38353,133.7717,135.1186,139.00754,144.89417,152.2074,160.42021,169.08237,177.82596,186.35715,194.44362,201.9024,208.58957,214.39226,219.22266,223.01347,225.71472,227.29128,227.72102,226.99348,225.10884,222.07701,217.917,212.65634,206.33052,198.98257,190.6626,181.42732,171.33974,160.4686,148.88815,136.67772,123.92147,110.708466,97.13293,83.29567,69.307655,57.036465,56.83801,56.49687,56.014935,55.394833,54.639904,53.754166,52.74229,54.103703,65.036896,75.290054,84.76821,93.396416,101.112595,107.86475,113.60987,118.31342,121.949265,124.4996,125.95508,126.31484,125.5866,123.786766,120.94051,117.08196,112.25446,106.51102,99.91514,92.542336,84.48294,75.847336,66.77631,57.462303,49.524647,48.87365,48.049156,47.057285,45.90551,44.602665,43.305798,49.890774,59.61728,69.45123,79.10963,88.399155,97.17423,105.31752,112.73048,119.328705,125.03953,129.80095,133.56119,136.27866,137.92227,138.47185,137.91882,136.2672,133.53479,129.75511,124.97992,119.28321,112.76717,105.57143,97.88752,89.981224,82.225235,75.14048,69.4269,65.92546,65.424774,68.3366,74.50496,83.353645,94.18679,106.3835,119.45092,133.00902,146.76062,160.46585,173.92416,186.9627,199.42883,211.1856,222.10881,232.08542,241.01253,248.7969,255.35472,260.6116,264.50262,266.97256,267.976,267.47754,265.45184,261.88403,256.7696,250.11455,241.9355,232.25972,221.12524
